"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
These functions all return 1 for success and 0 or a negative value for failure,null,These functions all return 1 for success and 0 or a negative value for failure,These functions all return 1 for success and 0 or a negative value for failure. In particular a return value of -2 indicates the operation is not supported by the public key algorithm.
a return value of -2 indicates the operation is not supported by the public key algorithm,null,In particular a return value of -2 indicates the operation is not supported by the public key algorithm,These functions all return 1 for success and 0 or a negative value for failure. In particular a return value of -2 indicates the operation is not supported by the public key algorithm.
SSL_CTX_set_tlsext_servername_arg_APIName sets a context-specific argument to be passed into the callback for this SSL_CTX_set_tlsext_servername_arg_APIParam_1,null,SSL_CTX_set_tlsext_servername_arg_APIName sets a context-specific argument to be passed into the callback for this SSL_CTX_set_tlsext_servername_arg_APIParam_1,SSL_CTX_set_tlsext_servername_arg_APIName sets a context-specific argument to be passed into the callback for this SSL_CTX_set_tlsext_servername_arg_APIParam_1.
SSL_get_servername_APIName returns a servername extension value of the specified type if provided in the Client Hello or NULL,null,SSL_get_servername_APIName returns a servername extension value of the specified type if provided in the Client Hello or NULL,SSL_get_servername_APIName returns a servername extension value of the specified type if provided in the Client Hello or NULL.
SSL_CTX_set_tlsext_servername_callback_APIName and SSL_CTX_set_tlsext_servername_arg_APIName both always return 1 indicating success,null,SSL_CTX_set_tlsext_servername_callback_APIName and SSL_CTX_set_tlsext_servername_arg_APIName both always return 1 indicating success,SSL_CTX_set_tlsext_servername_callback_APIName and SSL_CTX_set_tlsext_servername_arg_APIName both always return 1 indicating success.
"The servername callback is executed first , followed by the ALPN callback",null,"The servername callback is executed first, followed by the ALPN callback","The ALPN and SNI callbacks are both executed during Client Hello processing. The servername callback is executed first, followed by the ALPN callback."
only those contained in the key will be printed,If the key does not include all the components indicated by the function,"If the key does not include all the components indicated by the function, then only those contained in the key will be printed","If the key does not include all the components indicated by the function, then only those contained in the key will be printed. For example passing a public key to EVP_PKEY_print_private_APIName will only print the public components."
The SSL_set_msg_callback_arg_APIParam_1 SSL_CTX_set_msg_callback_arg_APIParam_1 object that received or sent the message,null,The SSL_set_msg_callback_arg_APIParam_1 SSL_CTX_set_msg_callback_arg_APIParam_1 object that received or sent the message,The SSL_set_msg_callback_arg_APIParam_1 SSL_CTX_set_msg_callback_arg_APIParam_1 object that received or sent the message.
The user-defined argument optionally defined by SSL_CTX_set_msg_callback_arg_APIName or SSL_set_msg_callback_arg_APIName,null,The user-defined argument optionally defined by SSL_CTX_set_msg_callback_arg_APIName or SSL_set_msg_callback_arg_APIName,The user-defined argument optionally defined by SSL_CTX_set_msg_callback_arg_APIName or SSL_set_msg_callback_arg_APIName.
The ALPN and SNI callbacks are both executed Hello processing,during Client,The ALPN and SNI callbacks are both executed during Client Hello processing,"The ALPN and SNI callbacks are both executed during Client Hello processing. The servername callback is executed first, followed by the ALPN callback."
This function returns the Diffie-Hellman size in bytes,null,This function returns the Diffie-Hellman size in bytes,This function returns the Diffie-Hellman size in bytes. This function can be used to determine how much memory must be allocated for the shared secret computed by DH_compute_key_APIName.
Protocol messages are passed to the callback function after decryption and fragment collection where applicable,null,Protocol messages are passed to the callback function after decryption and fragment collection where applicable,Protocol messages are passed to the callback function after decryption and fragment collection where applicable. (Thus record boundaries are not visible.)
The size in bytes,null,The size in bytes,The size in bytes.
the callback function will never see messages that are considered too large to be processed,null,"For example, the callback function will never see messages that are considered too large to be processed","If processing a received protocol message results in an error, the callback function may not be called. For example, the callback function will never see messages that are considered too large to be processed."
This flag is 0 and 1 when a protocol message has been sent,when a protocol message has been received,This flag is 0 when a protocol message has been received and 1 when a protocol message has been sent,This flag is 0 when a protocol message has been received and 1 when a protocol message has been sent.
the internal checks will be suppressed as appropriate,when DANE support is added to OpenSSL,"Host name checks are out of scope with the DANE-EE_APIName certificate usage, and the internal checks will be suppressed as appropriate when DANE support is added to OpenSSL","Applications are encouraged to use X509_VERIFY_PARAM_set1_host_APIName rather than explicitly calling X509_check_host_APIName . Host name checks are out of scope with the DANE-EE_APIName certificate usage, and the internal checks will be suppressed as appropriate when DANE support is added to OpenSSL."
"Host name checks are out of scope with the DANE-EE_APIName certificate usage , and",null,"Host name checks are out of scope with the DANE-EE_APIName certificate usage, and the internal checks will be suppressed as appropriate when DANE support is added to OpenSSL","Applications are encouraged to use X509_VERIFY_PARAM_set1_host_APIName rather than explicitly calling X509_check_host_APIName . Host name checks are out of scope with the DANE-EE_APIName certificate usage, and the internal checks will be suppressed as appropriate when DANE support is added to OpenSSL."
"DSA_dup_DH_APIName returns the new DSA_dup_DH_APIParam_0 structure, and NULL on error",null,"DSA_dup_DH_APIName returns the new DSA_dup_DH_APIParam_0 structure, and NULL on error","DSA_dup_DH_APIName returns the new DSA_dup_DH_APIParam_0 structure, and NULL on error. The error codes can be obtained by ERR_get_error_APIName ."
DSA_dup_DH_APIName duplicates DSA parameters/keys as DH parameters/keys,null,DSA_dup_DH_APIName duplicates DSA parameters/keys as DH parameters/keys,"DSA_dup_DH_APIName duplicates DSA parameters/keys as DH parameters/keys. q is lost during that conversion, but the resulting DH parameters contain the resulting DH parameters length."
This function can be used to determine how much memory must be allocated for the shared secret computed by DH_compute_key_APIName,null,This function can be used to determine how much memory must be allocated for the shared secret computed by DH_compute_key_APIName,This function returns the Diffie-Hellman size in bytes. This function can be used to determine how much memory must be allocated for the shared secret computed by DH_compute_key_APIName.
the callback function may not be called,If processing a received protocol message results in an error,"If processing a received protocol message results in an error, the callback function may not be called","If processing a received protocol message results in an error, the callback function may not be called. For example, the callback function will never see messages that are considered too large to be processed."
The error codes can be obtained by ERR_get_error_APIName,null,The error codes can be obtained by ERR_get_error_APIName,"DSA_dup_DH_APIName returns the new DSA_dup_DH_APIParam_0 structure, and NULL on error. The error codes can be obtained by ERR_get_error_APIName ."
BIO_f_cipher_APIName returns the cipher BIO method,null,BIO_f_cipher_APIName returns the cipher BIO method,"BIO_f_cipher_APIName returns the cipher BIO method. This is a filter BIO that encrypts any data written through it, and decrypts any data read from it. It is a BIO wrapper for the cipher routines EVP_CipherInit_APIName, EVP_CipherUpdate_APIName and EVP_CipherFinal_APIName."
"It is a BIO wrapper for the cipher routines EVP_CipherInit_APIName , EVP_CipherUpdate_APIName and EVP_CipherFinal_APIName",null,"It is a BIO wrapper for the cipher routines EVP_CipherInit_APIName, EVP_CipherUpdate_APIName and EVP_CipherFinal_APIName","BIO_f_cipher_APIName returns the cipher BIO method. This is a filter BIO that encrypts any data written through it, and decrypts any data read from it. It is a BIO wrapper for the cipher routines EVP_CipherInit_APIName, EVP_CipherUpdate_APIName and EVP_CipherFinal_APIName."
Cipher BIOs do not support BIO_gets_APIName or BIO_puts_APIName,null,Cipher BIOs do not support BIO_gets_APIName or BIO_puts_APIName,Cipher BIOs do not support BIO_gets_APIName or BIO_puts_APIName.
"This is a filter BIO that encrypts any data written through it , and decrypts any data read from it",null,"This is a filter BIO that encrypts any data written through it, and decrypts any data read from it","BIO_f_cipher_APIName returns the cipher BIO method. This is a filter BIO that encrypts any data written through it, and decrypts any data read from it. It is a BIO wrapper for the cipher routines EVP_CipherInit_APIName, EVP_CipherUpdate_APIName and EVP_CipherFinal_APIName."
q is lost,during that conversion,"q is lost during that conversion, but the resulting DH parameters contain the resulting DH parameters length","DSA_dup_DH_APIName duplicates DSA parameters/keys as DH parameters/keys. q is lost during that conversion, but the resulting DH parameters contain the resulting DH parameters length."
but the resulting DH parameters contain the resulting DH parameters length,null,"q is lost during that conversion, but the resulting DH parameters contain the resulting DH parameters length","DSA_dup_DH_APIName duplicates DSA parameters/keys as DH parameters/keys. q is lost during that conversion, but the resulting DH parameters contain the resulting DH parameters length."
Be careful to avoid small subgroup attacks,when using this,Be careful to avoid small subgroup attacks when using this,Be careful to avoid small subgroup attacks when using this.
BIO_get_cipher_status_APIName is a BIO_ctrl_APIName macro which can be called to determine,null,BIO_get_cipher_status_APIName is a BIO_ctrl_APIName macro which can be called to determine ,When reading from an encryption BIO the final block is automatically decrypted and checked when EOF is detected. BIO_get_cipher_status_APIName is a BIO_ctrl_APIName macro which can be called to determine whether the decryption operation was successful.
BIO_get_cipher_ctx_APIName is a BIO_ctrl_APIName macro which retrieves the internal BIO cipher context,null,BIO_get_cipher_ctx_APIName is a BIO_ctrl_APIName macro which retrieves the internal BIO cipher context,BIO_get_cipher_ctx_APIName is a BIO_ctrl_APIName macro which retrieves the internal BIO cipher context. The retrieved context can be used in conjunction with the standard cipher routines to set it up. This is useful when BIO_set_cipher_APIName is not flexible enough for the applications needs.
The retrieved context can be used in conjunction with the standard cipher routines to set it up,null,The retrieved context can be used in conjunction with the standard cipher routines to set it up,BIO_get_cipher_ctx_APIName is a BIO_ctrl_APIName macro which retrieves the internal BIO cipher context. The retrieved context can be used in conjunction with the standard cipher routines to set it up. This is useful when BIO_set_cipher_APIName is not flexible enough for the applications needs.
A successful decrypt followed by EOF will also return zero for the final read,null,A successful decrypt followed by EOF will also return zero for the final read,When decrypting an error on the final block is signalled by a zero return value from the read operation. A successful decrypt followed by EOF will also return zero for the final read. BIO_get_cipher_status_APIName should be called to determine if the decrypt was successful.
When decrypting an error on the final block is signalled by a zero return value from the read operation,null,When decrypting an error on the final block is signalled by a zero return value from the read operation,When decrypting an error on the final block is signalled by a zero return value from the read operation. A successful decrypt followed by EOF will also return zero for the final read. BIO_get_cipher_status_APIName should be called to determine if the decrypt was successful.
BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted,null,BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted: this is used to flush and possibly pad the final block through the BIO,BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted: this is used to flush and possibly pad the final block through the BIO.
BIO_f_cipher_APIName returns the cipher BIO method,null,BIO_f_cipher_APIName returns the cipher BIO method,BIO_f_cipher_APIName returns the cipher BIO method.
BIO_get_cipher_status_APIName should be called to determine if the decrypt was successful,null,BIO_get_cipher_status_APIName should be called to determine if the decrypt was successful,When decrypting an error on the final block is signalled by a zero return value from the read operation. A successful decrypt followed by EOF will also return zero for the final read. BIO_get_cipher_status_APIName should be called to determine if the decrypt was successful.
this is used to flush and possibly pad the final block through the BIO,null,BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted: this is used to flush and possibly pad the final block through the BIO,BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted: this is used to flush and possibly pad the final block through the BIO.
BIO_set_cipher_APIName does not return a value,null,BIO_set_cipher_APIName does not return a value,BIO_set_cipher_APIName does not return a value.
This is useful,when BIO_set_cipher_APIName is not flexible enough for the applications needs,This is useful when BIO_set_cipher_APIName is not flexible enough for the applications needs,BIO_get_cipher_ctx_APIName is a BIO_ctrl_APIName macro which retrieves the internal BIO cipher context. The retrieved context can be used in conjunction with the standard cipher routines to set it up. This is useful when BIO_set_cipher_APIName is not flexible enough for the applications needs.
BIO_get_cipher_status_APIName returns 1 for a successful decrypt and 0 for failure,null,BIO_get_cipher_status_APIName returns 1 for a successful decrypt and 0 for failure,BIO_get_cipher_status_APIName returns 1 for a successful decrypt and 0 for failure.
BIO_get_cipher_ctx_APIName currently always returns 1,null,BIO_get_cipher_ctx_APIName currently always returns 1,BIO_get_cipher_ctx_APIName currently always returns 1.
SSL_want_APIName returns state information for the SSL object SSL_want_APIParam_1,null,SSL_want_APIName returns state information for the SSL object SSL_want_APIParam_1,SSL_want_APIName returns state information for the SSL object SSL_want_APIParam_1.
The other SSL_want_*_APIName calls are shortcuts for the possible states returned by SSL_want_*_APIName,null,The other SSL_want_*_APIName calls are shortcuts for the possible states returned by SSL_want_APIName,The other SSL_want_*_APIName calls are shortcuts for the possible states returned by SSL_want_APIName.
SSL_want_APIName examines the internal state information of the SSL object,null,SSL_want_APIName examines the internal state information of the SSL object,"SSL_want_APIName examines the internal state information of the SSL object. Its return values are similar to that of SSL_get_error_APIName . Unlike SSL_get_error_APIName , which also evaluates the error queue, the results are obtained by examining an internal state flag only. The information must therefore only be used for normal operation under non-blocking I/O. Error conditions are not handled and must be treated using SSL_get_error_APIName ."
Its return values are similar to that of SSL_get_error_APIName,null,Its return values are similar to that of SSL_get_error_APIName,"SSL_want_APIName examines the internal state information of the SSL object. Its return values are similar to that of SSL_get_error_APIName . Unlike SSL_get_error_APIName , which also evaluates the error queue, the results are obtained by examining an internal state flag only. The information must therefore only be used for normal operation under non-blocking I/O. Error conditions are not handled and must be treated using SSL_get_error_APIName ."
The information must only be used for normal operation under non-blocking I/O,null,The information must therefore only be used for normal operation under non-blocking I/O,"SSL_want_APIName examines the internal state information of the SSL object. Its return values are similar to that of SSL_get_error_APIName . Unlike SSL_get_error_APIName , which also evaluates the error queue, the results are obtained by examining an internal state flag only. The information must therefore only be used for normal operation under non-blocking I/O. Error conditions are not handled and must be treated using SSL_get_error_APIName ."
The result returned by SSL_want_APIName should always be consistent with the result of SSL_get_error_APIName,null,The result returned by SSL_want_APIName should always be consistent with the result of SSL_get_error_APIName,The result returned by SSL_want_APIName should always be consistent with the result of SSL_get_error_APIName .
Error conditions are not handled and must be treated using SSL_get_error_APIName,null,Error conditions are not handled and must be treated using SSL_get_error_APIName,"SSL_want_APIName examines the internal state information of the SSL object. Its return values are similar to that of SSL_get_error_APIName . Unlike SSL_get_error_APIName , which also evaluates the error queue, the results are obtained by examining an internal state flag only. The information must therefore only be used for normal operation under non-blocking I/O. Error conditions are not handled and must be treated using SSL_get_error_APIName ."
"Unlike SSL_get_error_APIName , which also evaluates the error queue , the results are obtained by examining an internal state flag only",null,"Unlike SSL_get_error_APIName , which also evaluates the error queue, the results are obtained by examining an internal state flag only","SSL_want_APIName examines the internal state information of the SSL object. Its return values are similar to that of SSL_get_error_APIName . Unlike SSL_get_error_APIName , which also evaluates the error queue, the results are obtained by examining an internal state flag only. The information must therefore only be used for normal operation under non-blocking I/O. Error conditions are not handled and must be treated using SSL_get_error_APIName ."
"As always , , it can be achieved by preceding the cipher BIO with a buffering BIO",if BIO_gets_APIName or BIO_puts_APIName support is needed,"As always, if BIO_gets_APIName or BIO_puts_APIName support is needed ,then it can be achieved by preceding the cipher BIO with a buffering BIO","As always, if BIO_gets_APIName or BIO_puts_APIName support is needed ,then it can be achieved by preceding the cipher BIO with a buffering BIO."
The following return values can currently occur for SSL_want_APIName,null,The following return values can currently occur for SSL_want_APIName:,The following return values can currently occur for SSL_want_APIName:
A call to SSL_get_error_APIName should return SSL_ERROR_WANT_X509_LOOKUP,null,A call to SSL_get_error_APIName should return SSL_ERROR_WANT_X509_LOOKUP,The operation did not complete because an application callback set by SSL_CTX_set_client_cert_cb_APIName has asked to be called again. A call to SSL_get_error_APIName should return SSL_ERROR_WANT_X509_LOOKUP.
There is no data to be written or to be read,null,There is no data to be written or to be read,There is no data to be written or to be read.
The operation did not complete,null,The operation did not complete ,The operation did not complete because an application callback set by SSL_CTX_set_client_cert_cb_APIName has asked to be called again. A call to SSL_get_error_APIName should return SSL_ERROR_WANT_X509_LOOKUP.
"SSL_want_nothing_APIName, SSL_want_read_APIName, SSL_want_write_APIName, SSL_want_x509_lookup_APIName return 1, when the corresponding condition is true or 0 otherwise",null,"SSL_want_nothing_APIName, SSL_want_read_APIName, SSL_want_write_APIName, SSL_want_x509_lookup_APIName return 1, when the corresponding condition is true or 0 otherwise","SSL_want_nothing_APIName, SSL_want_read_APIName, SSL_want_write_APIName, SSL_want_x509_lookup_APIName return 1, when the corresponding condition is true or 0 otherwise."
"BN_is_bit_set_APIName returns 1 if the bit is set, 0 otherwise",null,"BN_is_bit_set_APIName returns 1 if the bit is set, 0 otherwise","BN_is_bit_set_APIName returns 1 if the bit is set, 0 otherwise."
"All other functions return 1 for success, 0 on error",null,"All other functions return 1 for success, 0 on error","All other functions return 1 for success, 0 on error. The error codes can be obtained by ERR_get_error_APIName ."
The error codes can be obtained by ERR_get_error_APIName,null,The error codes can be obtained by ERR_get_error_APIName,"All other functions return 1 for success, 0 on error. The error codes can be obtained by ERR_get_error_APIName ."
BN_is_bit_set_APIName tests,if bit BN_is_bit_set_APIParam_2 in BN_is_bit_set_APIParam_1 is set,BN_is_bit_set_APIName tests if bit BN_is_bit_set_APIParam_2 in BN_is_bit_set_APIParam_1 is set,BN_is_bit_set_APIName tests if bit BN_is_bit_set_APIParam_2 in BN_is_bit_set_APIParam_1 is set.
See EC_GROUP_copy_APIName for a description of point_conversion_form,null,See EC_GROUP_copy_APIName for a description of point_conversion_form,The format of the external representation of the public key written by i2d_ECPrivateKey (such as whether it is stored in a compressed form or not) is described by the point_conversion_form. See EC_GROUP_copy_APIName for a description of point_conversion_form.
The ECPrivateKey encode and decode routines encode and parse an EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 EC_KEY_set_enc_flags_APIParam_1 structure into a binary format and back again,null,The ECPrivateKey encode and decode routines encode and parse an EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 EC_KEY_set_enc_flags_APIParam_1 structure into a binary format (ASN.1 DER) and back again,The ECPrivateKey encode and decode routines encode and parse an EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 EC_KEY_set_enc_flags_APIParam_1 structure into a binary format (ASN.1 DER) and back again.
"For the shift functions , BN_rshift1_APIParam_1 BN_lshift1_APIParam_1 BN_rshift_APIParam_1 BN_lshift_APIParam_1 and BN_rshift1_APIParam_2 BN_clear_bit_APIParam_1 BN_mask_bits_APIParam_1 BN_lshift1_APIParam_2 BN_is_bit_set_APIParam_1 BN_rshift_APIParam_2 BN_lshift1_APIParam_10 BN_lshift1_APIParam_11 may be the same variable",null,"For the shift functions, BN_rshift1_APIParam_1 BN_lshift1_APIParam_1 BN_rshift_APIParam_1 BN_lshift_APIParam_1 and BN_rshift1_APIParam_2 BN_clear_bit_APIParam_1 BN_mask_bits_APIParam_1 BN_lshift1_APIParam_2 BN_is_bit_set_APIParam_1 BN_rshift_APIParam_2 BN_lshift_APIParam_2 BN_set_bit_APIParam_1 may be the same variable","For the shift functions, BN_rshift1_APIParam_1 BN_lshift1_APIParam_1 BN_rshift_APIParam_1 BN_lshift_APIParam_1 and BN_rshift1_APIParam_2 BN_clear_bit_APIParam_1 BN_mask_bits_APIParam_1 BN_lshift1_APIParam_2 BN_is_bit_set_APIParam_1 BN_rshift_APIParam_2 BN_lshift_APIParam_2 BN_set_bit_APIParam_1 may be the same variable."
"These functions are similar to the d2i_X509_APIName functions , and you should refer to that page for a detailed description",null,"These functions are similar to the d2i_X509_APIName functions, and you should refer to that page for a detailed description (see d2i_X509_APIName )","These functions are similar to the d2i_X509_APIName functions, and you should refer to that page for a detailed description (see d2i_X509_APIName )."
Private keys encoded without parameters can not be loaded using d2i_ECPrivateKey,null,Private keys encoded without parameters (eg if EC_PKEY_NO_PARAMETERS has been used - see below) cannot be loaded using d2i_ECPrivateKey,"When reading a private key encoded without an associated public key (eg if EC_PKEY_NO_PUBKEY has been used - see below), then d2i_ECPrivateKey generates the missing public key automatically. Private keys encoded without parameters (eg if EC_PKEY_NO_PARAMETERS has been used - see below) cannot be loaded using d2i_ECPrivateKey."
The format of the external representation of the public key written by i2d_ECPrivateKey is described by the point_conversion_form,null,The format of the external representation of the public key written by i2d_ECPrivateKey (such as whether it is stored in a compressed form or not) is described by the point_conversion_form,The format of the external representation of the public key written by i2d_ECPrivateKey (such as whether it is stored in a compressed form or not) is described by the point_conversion_form. See EC_GROUP_copy_APIName for a description of point_conversion_form.
There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY,null,There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY,"The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1. There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY. These flags define the behaviour of how the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey. If EC_PKEY_NO_PARAMETERS is set ,then the public parameters for the curve are not encoded along with the private key. If EC_PKEY_NO_PUBKEY is set ,then the public key is not encoded along with the private key."
The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1,null,The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1,"The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1. There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY. These flags define the behaviour of how the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey. If EC_PKEY_NO_PARAMETERS is set ,then the public parameters for the curve are not encoded along with the private key. If EC_PKEY_NO_PUBKEY is set ,then the public key is not encoded along with the private key."
These flags define the behaviour of how the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey,null,These flags define the behaviour of how the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey,"The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1. There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY. These flags define the behaviour of how the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey. If EC_PKEY_NO_PARAMETERS is set ,then the public parameters for the curve are not encoded along with the private key. If EC_PKEY_NO_PUBKEY is set ,then the public key is not encoded along with the private key."
d2i_ECPrivateKey_APIName returns a valid d2i_ECPrivateKey_APIParam_1 structure or NULL if an error occurs,null,d2i_ECPrivateKey_APIName returns a valid d2i_ECPrivateKey_APIParam_1 structure or NULL if an error occurs,d2i_ECPrivateKey_APIName returns a valid d2i_ECPrivateKey_APIParam_1 structure or NULL if an error occurs. The error code that can be obtained by ERR_get_error_APIName .
The error code that can be obtained by ERR_get_error_APIName,null,The error code that can be obtained by ERR_get_error_APIName,d2i_ECPrivateKey_APIName returns a valid d2i_ECPrivateKey_APIParam_1 structure or NULL if an error occurs. The error code that can be obtained by ERR_get_error_APIName .
i2d_ECPrivateKey_APIName returns the number of bytes successfully encoded or a negative value if an error occurs,null,i2d_ECPrivateKey_APIName returns the number of bytes successfully encoded or a negative value if an error occurs,i2d_ECPrivateKey_APIName returns the number of bytes successfully encoded or a negative value if an error occurs. The error code can be obtained by ERR_get_error_APIName .
The error code can be obtained by ERR_get_error_APIName,null,The error code can be obtained by ERR_get_error_APIName,i2d_ECPrivateKey_APIName returns the number of bytes successfully encoded or a negative value if an error occurs. The error code can be obtained by ERR_get_error_APIName .
EC_KEY_get_enc_flags returns the value of the current encoding flags for the EC_KEY,null,EC_KEY_get_enc_flags returns the value of the current encoding flags for the EC_KEY,EC_KEY_get_enc_flags returns the value of the current encoding flags for the EC_KEY.
the public parameters for the curve are not encoded along with the private key,If EC_PKEY_NO_PARAMETERS is set,"If EC_PKEY_NO_PARAMETERS is set ,then the public parameters for the curve are not encoded along with the private key","The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1. There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY. These flags define the behaviour of how the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey. If EC_PKEY_NO_PARAMETERS is set ,then the public parameters for the curve are not encoded along with the private key. If EC_PKEY_NO_PUBKEY is set ,then the public key is not encoded along with the private key."
The CMS_add1_ReceiptRequest_APIName function adds a signed receipt request CMS_add1_ReceiptRequest_APIParam_2 to SignerInfo structure CMS_add1_ReceiptRequest_APIParam_1,null,The CMS_add1_ReceiptRequest_APIName function adds a signed receipt request CMS_add1_ReceiptRequest_APIParam_2 to SignerInfo structure CMS_add1_ReceiptRequest_APIParam_1,The CMS_add1_ReceiptRequest_APIName function adds a signed receipt request CMS_add1_ReceiptRequest_APIParam_2 to SignerInfo structure CMS_add1_ReceiptRequest_APIParam_1.
the public key is not encoded along with the private key,If EC_PKEY_NO_PUBKEY is set,"If EC_PKEY_NO_PUBKEY is set ,then the public key is not encoded along with the private key","The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1. There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY. These flags define the behaviour of how the EC_KEY_get_enc_flags_APIParam_1 d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey. If EC_PKEY_NO_PARAMETERS is set ,then the public parameters for the curve are not encoded along with the private key. If EC_PKEY_NO_PUBKEY is set ,then the public key is not encoded along with the private key."
For more details of the meaning of the fields see RFC2634,null,For more details of the meaning of the fields see RFC2634,For more details of the meaning of the fields see RFC2634.
CMS_ReceiptRequest_create0_APIName returns a signed receipt request structure or NULL if an error occurred,null,CMS_ReceiptRequest_create0_APIName returns a signed receipt request structure or NULL if an error occurred,CMS_ReceiptRequest_create0_APIName returns a signed receipt request structure or NULL if an error occurred.
CMS_add1_ReceiptRequest_APIName returns 1 for success or 0 if an error occurred,null,CMS_add1_ReceiptRequest_APIName returns 1 for success or 0 if an error occurred,CMS_add1_ReceiptRequest_APIName returns 1 for success or 0 if an error occurred.
CMS_get1_ReceiptRequest_APIName returns 1 is a signed receipt request is found and decoded,null,CMS_get1_ReceiptRequest_APIName returns 1 is a signed receipt request is found and decoded,CMS_get1_ReceiptRequest_APIName returns 1 is a signed receipt request is found and decoded. It returns 0 if a signed receipt request is not present and -1 if it is present but malformed.
RSA_verify_ASN1_OCTET_STRING_APIParam_1 RSA_sign_ASN1_OCTET_STRING_APIParam_1 is ignored,null,RSA_verify_ASN1_OCTET_STRING_APIParam_1 RSA_sign_ASN1_OCTET_STRING_APIParam_1 is ignored,RSA_verify_ASN1_OCTET_STRING_APIParam_1 RSA_sign_ASN1_OCTET_STRING_APIParam_1 is ignored.
