label,old-label,prop,wrong,,cond,sent,paraph
0,0,SSL_CTX_get_read_ahead_APIName and SSL_get_read_ahead_APIName indicate whether reading ahead has been set or not,,,null,SSL_CTX_get_read_ahead_APIName and SSL_get_read_ahead_APIName indicate whether reading ahead has been set or not.,SSL_CTX_get_read_ahead_APIName and SSL_get_read_ahead_APIName indicate whether reading ahead has been set or not.
0,0,UI_get0_user_data_APIName retrieves the data that has last been given to the UI with UI_add_user_data_APIName,,,null,UI_get0_user_data_APIName retrieves the data that has last been given to the UI with UI_add_user_data_APIName.,UI_get0_user_data_APIName retrieves the data that has last been given to the UI with UI_add_user_data_APIName.
0,0,the plaintext buffer is an actual digest value and is encapsulated in a DigestInfo structure according to PKCS # 1 when signing and this structure is expected when verifying,,,If this macro is called for PKCS # 1 padding,"If this macro is called for PKCS#1 padding ,the plaintext buffer is an actual digest value and is encapsulated in a DigestInfo structure according to PKCS#1 when signing and this structure is expected (and stripped off) when verifying.","Two RSA padding modes behave differently if EVP_PKEY_CTX_set_signature_md_APIName is used. If this macro is called for PKCS#1 padding ,the plaintext buffer is an actual digest value and is encapsulated in a DigestInfo structure according to PKCS#1 when signing and this structure is expected (and stripped off) when verifying. If this control is not used with RSA and PKCS#1 padding then the supplied data is used directly and not encapsulated. In the case of X9.31 padding for RSA the algorithm identifier byte is added or checked and removed if this control is called. If this control is not called then the first byte of the plaintext buffer is expected to be the algorithm identifier byte."
0,0,lh _ <type> _ insert_APIName inserts the structure pointed to by lh_retrieve_APIParam_2 into lh_retrieve_APIParam_1,,,null,lh_<type>_insert_APIName inserts the structure pointed to by lh_retrieve_APIParam_2 into lh_retrieve_APIParam_1.,"lh_<type>_insert_APIName inserts the structure pointed to by lh_retrieve_APIParam_2 into lh_retrieve_APIParam_1. If there already is an entry with the same key, the old value is replaced. Note that lh_<type>_insert_APIName stores pointers, the data are not copied."
0,0,Depending on the type the CMS_RecipientInfo structure can be ignored or its key identifier data retrieved using an appropriate function,,,null,Depending on the type the CMS_RecipientInfo structure can be ignored or its key identifier data retrieved using an appropriate function.,In typical usage and application will retrieve all CMS_RecipientInfo structures using CMS_get0_RecipientInfos_APIName and check the type of each using CMS_RecpientInfo_type_APIName. Depending on the type the CMS_RecipientInfo structure can be ignored or its key identifier data retrieved using an appropriate function. Then if the corresponding secret or private key can be obtained by any appropriate means it can then associated with the structure and CMS_RecpientInfo_decrypt_APIName called. If successful CMS_decrypt_APIName can be called with a NULL key to decrypt the enveloped content.
0,0,Thus no syntax checking takes place,,,null,Thus no syntax checking takes place.,"The control string SSL_CTX_set_cipher_list_APIParam_2 SSL_set_cipher_list_APIParam_2 should be universally usable and not depend on details of the library configuration (ciphers compiled in). Thus no syntax checking takes place. Items that are not recognized, because the corresponding ciphers are not compiled in or because the corresponding ciphers are mistyped, are simply ignored. Failure is only flagged if no ciphers could be collected at all."
0,0,CMS_decrypt_APIName can be called with a NULL key to decrypt the enveloped content,1,,If successful ,If successful CMS_decrypt_APIName can be called with a NULL key to decrypt the enveloped content.,In typical usage and application will retrieve all CMS_RecipientInfo structures using CMS_get0_RecipientInfos_APIName and check the type of each using CMS_RecpientInfo_type_APIName. Depending on the type the CMS_RecipientInfo structure can be ignored or its key identifier data retrieved using an appropriate function. Then if the corresponding secret or private key can be obtained by any appropriate means it can then associated with the structure and CMS_RecpientInfo_decrypt_APIName called. If successful CMS_decrypt_APIName can be called with a NULL key to decrypt the enveloped content.
0,0,X509_NAME_add_entry_by_txt_APIParam_7 X509_NAME_add_entry_by_NID_APIParam_7 X509_NAME_add_entry_APIParam_4 X509_NAME_add_entry_by_OBJ_APIParam_7 determines how the new type is added,,,null,X509_NAME_add_entry_by_txt_APIParam_7 X509_NAME_add_entry_by_NID_APIParam_7 X509_NAME_add_entry_APIParam_4 X509_NAME_add_entry_by_OBJ_APIParam_7 determines how the new type is added.,"X509_NAME_add_entry_by_txt_APIParam_7 X509_NAME_add_entry_by_NID_APIParam_7 X509_NAME_add_entry_APIParam_4 X509_NAME_add_entry_by_OBJ_APIParam_7 determines how the new type is added. If X509_NAME_add_entry_by_txt_APIParam_7 X509_NAME_add_entry_by_NID_APIParam_7 X509_NAME_add_entry_APIParam_4 X509_NAME_add_entry_by_OBJ_APIParam_7 is zero ,a new RDN is created."
0,0,"Items that are not recognized , or , are simply ignored",,,null,"Items that are not recognized ,  or  , are simply ignored .","The control string SSL_CTX_set_cipher_list_APIParam_2 SSL_set_cipher_list_APIParam_2 should be universally usable and not depend on details of the library configuration (ciphers compiled in). Thus no syntax checking takes place. Items that are not recognized, because the corresponding ciphers are not compiled in or because the corresponding ciphers are mistyped, are simply ignored. Failure is only flagged if no ciphers could be collected at all."
0,0,The verification store is used to verify the certificate chain sent by the peer,,,null,The verification store is used to verify the certificate chain sent by the peer: that is an SSL/TLS client will use the verification store to verify the server's certificate chain and a SSL/TLS server will use it to verify any client certificate chain.,The verification store is used to verify the certificate chain sent by the peer: that is an SSL/TLS client will use the verification store to verify the server's certificate chain and a SSL/TLS server will use it to verify any client certificate chain.
0,0,there will either be three or five bits set dependant on whether the polynomial is a trinomial or a pentanomial,,,null,Therefore there will either be three or five bits set dependant on whether the polynomial is a trinomial or a pentanomial.,EC_GROUP_set_curve_GF2m sets the equivalent curve parameters for a curve over F2^m. In this case EC_GROUP_get_curve_GF2m_APIParam_2 EC_GROUP_new_curve_GFp_APIParam_1 EC_GROUP_get_curve_GFp_APIParam_2 EC_GROUP_new_curve_GF2m_APIParam_1 EC_GROUP_set_curve_GF2m_APIParam_2 EC_GROUP_set_curve_GFp_APIParam_2 represents the irreducible polybnomial - each bit represents a term in the polynomial. Therefore there will either be three or five bits set dependant on whether the polynomial is a trinomial or a pentanomial. EC_group_get_curve_GF2m obtains the previously set curve parameters.
0,0,BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted,,,null,BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted: this is used to flush and possibly pad the final block through the BIO.,BIO_flush_APIName on an encryption BIO that is being written through is used to signal that no more data is to be encrypted: this is used to flush and possibly pad the final block through the BIO.
0,0,it can associated with the structure and CMS_RecpientInfo_decrypt_APIName called,1,,if the corresponding secret or private key can be obtained by any appropriate means,Then if the corresponding secret or private key can be obtained by any appropriate means it can then associated with the structure and CMS_RecpientInfo_decrypt_APIName called.,In typical usage and application will retrieve all CMS_RecipientInfo structures using CMS_get0_RecipientInfos_APIName and check the type of each using CMS_RecpientInfo_type_APIName. Depending on the type the CMS_RecipientInfo structure can be ignored or its key identifier data retrieved using an appropriate function. Then if the corresponding secret or private key can be obtained by any appropriate means it can then associated with the structure and CMS_RecpientInfo_decrypt_APIName called. If successful CMS_decrypt_APIName can be called with a NULL key to decrypt the enveloped content.
0,0,Using the callback function it is possible to implement a proper selection routine or to allow a user interaction to choose the certificate to be sent,,,null,Using the callback function it is possible to implement a proper selection routine or to allow a user interaction to choose the certificate to be sent.,"When a certificate was set using the SSL_CTX_use_certificate_APIName family of functions, it will be sent to the server. The TLS standard requires that only a certificate is sent, if it matches the list of acceptable CAs sent by the server. This constraint is violated by the default behavior of the OpenSSL library. Using the callback function it is possible to implement a proper selection routine or to allow a user interaction to choose the certificate to be sent."
0,0,lh _ <type> _ retrieve_APIName looks up an entry in lh_retrieve_APIParam_1,,,null,lh_<type>_retrieve_APIName looks up an entry in lh_retrieve_APIParam_1.,"lh_<type>_retrieve_APIName looks up an entry in lh_retrieve_APIParam_1. Normally, lh_retrieve_APIParam_2 is a structure with the key field(s) set; the function will return a pointer to a fully populated structure."
0,0,The functions EVP_PKEY_paramgen_init_APIName and EVP_PKEY_paramgen_APIName are similar except parameters are generated,,,null,The functions EVP_PKEY_paramgen_init_APIName and EVP_PKEY_paramgen_APIName are similar except parameters are generated.,The functions EVP_PKEY_paramgen_init_APIName and EVP_PKEY_paramgen_APIName are similar except parameters are generated.
0,0,Otherwise check out the error stack to find out the reason,,,null,Otherwise check out the error stack to find out the reason.,"On success, the functions return 1. Otherwise check out the error stack to find out the reason."
0,0,SSL_load_client_CA_file_APIName reads a file of PEM formatted certificates and extracts the X509_NAMES of the certificates found,,,null,SSL_load_client_CA_file_APIName reads a file of PEM formatted certificates and extracts the X509_NAMES of the certificates found.,"SSL_load_client_CA_file_APIName reads a file of PEM formatted certificates and extracts the X509_NAMES of the certificates found. While the name suggests the specific usage as support function for SSL_CTX_set_client_CA_list_APIName , it is not limited to CA certificates."
0,0,Older versions of this documentation wrongly stated that calls to EVP_VerifyUpdate_APIName could not be made after calling EVP_VerifyFinal_APIName,,,null,Older versions of this documentation wrongly stated that calls to EVP_VerifyUpdate_APIName could not be made after calling EVP_VerifyFinal_APIName.,Older versions of this documentation wrongly stated that calls to EVP_VerifyUpdate_APIName could not be made after calling EVP_VerifyFinal_APIName.
0,0,For any given x co-ordinate for a point on a curve it is possible to derive two possible y values,,,null,For any given x co-ordinate for a point on a curve it is possible to derive two possible y values.,"For any given x co-ordinate for a point on a curve it is possible to derive two possible y values. For POINT_CONVERSION_COMPRESSED the point is encoded as an octet signifying that the COMPRESSED form has been used AND which of the two possible solutions for y has been used, followed by the octets for x."
0,0,Each state table has a flag to note whether it has processed this `` get_default '' query,,,null,Each state table has a flag to note whether it has processed this `` get_default '' query  .,"Each state table has a flag to note whether it has processed this ""get_default"" query since the table was last modified, because to process this question it must iterate across all the registered ENGINEs in the table trying to initialise each of them in turn, in case one of them is operational. If it returns a functional reference to an ENGINE, it will also cache another reference to speed up processing future queries (without needing to iterate across the table). Likewise, it will cache a NULL response if no ENGINE was available so that future queries won't repeat the same iteration unless the state table changes. This behaviour can also be changed; if the ENGINE_TABLE_FLAG_NOINIT flag is set (using ENGINE_set_table_flags_APIName), no attempted initialisations will take place, instead the only way for the state table to return a non-NULL ENGINE to the ""get_default"" query will be if one is expressly set in the table. Eg. ENGINE_set_default_RSA_APIName does the same job as ENGINE_register_RSA_APIName except that it also sets the state table's cached response for the ""get_default"" query. In the case of abstractions like EVP_CIPHER, where implementations are indexed by 'nid', these flags and cached-responses are distinct for each 'nid' value."
0,0,The PKCS # 8 functions encode and decode private keys in PKCS # 8 format using both PKCS # 5 v1 .5 and PKCS # 5 v2 .0 password based encryption algorithms,,,null,The PKCS#8 functions encode and decode private keys in PKCS#8 format using both PKCS#5 v1.5 and PKCS#5 v2.0 password based encryption algorithms.,The PKCS#8 functions encode and decode private keys in PKCS#8 format using both PKCS#5 v1.5 and PKCS#5 v2.0 password based encryption algorithms.
0,0,"A special case is the size 0 , which is used for unlimited size",,,null,"A special case is the size 0, which is used for unlimited size.","The internal session cache size is SSL_SESSION_CACHE_MAX_SIZE_DEFAULT, currently 1024*20, so that up to 20000 sessions can be held. This size can be modified using the SSL_CTX_sess_set_cache_size_APIName call. A special case is the size 0, which is used for unlimited size."
0,0,EGD is checked via RAND_status_APIName for the first time,,,"when entropy is requested via RAND_bytes_APIName or the status,  if the socket is located at / var/run/egd-pool , / dev/egd-pool or / etc/egd-pool","OpenSSL automatically queries EGD when entropy is requested via RAND_bytes_APIName or the status is checked via RAND_status_APIName for the first time, if the socket is located at /var/run/egd-pool, /dev/egd-pool or /etc/egd-pool.","OpenSSL automatically queries EGD when entropy is requested via RAND_bytes_APIName or the status is checked via RAND_status_APIName for the first time, if the socket is located at /var/run/egd-pool, /dev/egd-pool or /etc/egd-pool."
0,0,"This indicates that it was not possible to set/retrieve a session ticket and the SSL/TLS session will continue by by negiotationing a set of cryptographic parameters or using the alternate SSL/TLS resumption mechanism , session ids",,,null,"This indicates that it was not possible to set/retrieve a session ticket and the SSL/TLS session will continue by by negiotationing a set of cryptographic parameters or using the alternate SSL/TLS resumption mechanism, session ids.","This indicates that it was not possible to set/retrieve a session ticket and the SSL/TLS session will continue by by negiotationing a set of cryptographic parameters or using the alternate SSL/TLS resumption mechanism, session ids."
0,0,"For POINT_CONVERSION_COMPRESSED the point is encoded as an octet signifying that the COMPRESSED form has been used AND which of the two possible solutions for y has been used , followed by the octets for x",,,null,"For POINT_CONVERSION_COMPRESSED the point is encoded as an octet signifying that the COMPRESSED form has been used AND which of the two possible solutions for y has been used, followed by the octets for x.","For any given x co-ordinate for a point on a curve it is possible to derive two possible y values. For POINT_CONVERSION_COMPRESSED the point is encoded as an octet signifying that the COMPRESSED form has been used AND which of the two possible solutions for y has been used, followed by the octets for x."
0,0,An OpenSSL client speaking a protocol that allows compression will unconditionally send the list of all compression methods enabled with SSL_COMP_add_compression_method_APIName to the server,,,during the handshake,"An OpenSSL client speaking a protocol that allows compression (SSLv3, TLSv1) will unconditionally send the list of all compression methods enabled with SSL_COMP_add_compression_method_APIName to the server during the handshake.","An OpenSSL client speaking a protocol that allows compression (SSLv3, TLSv1) will unconditionally send the list of all compression methods enabled with SSL_COMP_add_compression_method_APIName to the server during the handshake. Unlike the mechanisms to set a cipher list, there is no method available to restrict the list of compression method on a per connection basis."
0,0,lh _ <type> _ error_APIName is a macro,,,null,lh_<type>_error_APIName is a macro.,lh_<type>_error_APIName can be used to determine if an error occurred in the last operation. lh_<type>_error_APIName is a macro.
0,0,That is the chain is now accept - > socket,,,null,That is the chain is now accept->socket.,When a connection is established a new socket BIO is created for the connection and appended to the chain. That is the chain is now accept->socket. This effectively means that attempting I/O on an initial accept socket will await an incoming connection then perform I/O on an incoming connection.
0,0,"MD2 , MD4 , and MD5 are cryptographic hash functions with a 128 bit output",,,null,"MD2, MD4, and MD5 are cryptographic hash functions with a 128 bit output.","MD2, MD4, and MD5 are cryptographic hash functions with a 128 bit output."
0,0,lh _ <type> _ error_APIName can be used to determine if an error occurred in the last operation,,,null,lh_<type>_error_APIName can be used to determine if an error occurred in the last operation.,lh_<type>_error_APIName can be used to determine if an error occurred in the last operation. lh_<type>_error_APIName is a macro.
0,0,The result and the number of bits it was shifted left will later be stored in BN_RECP_CTX_set_APIParam_1,,,null,The result and the number of bits it was shifted left will later be stored in BN_RECP_CTX_set_APIParam_1.,BN_RECP_CTX_set_APIName stores BN_RECP_CTX_set_APIParam_2 in BN_RECP_CTX_set_APIParam_1 and sets it up for computing 1/BN_RECP_CTX_set_APIParam_2 and shifting it left by BN_num_bits(BN_RECP_CTX_set_APIParam_2)+1 to make it an integer. The result and the number of bits it was shifted left will later be stored in BN_RECP_CTX_set_APIParam_1.
0,0,"The internal session cache size is SSL_SESSION_CACHE_MAX_SIZE_DEFAULT , currently 102420 , so that up to 20000 sessions can be held",,,null,"The internal session cache size is SSL_SESSION_CACHE_MAX_SIZE_DEFAULT, currently 1024*20, so that up to 20000 sessions can be held.","The internal session cache size is SSL_SESSION_CACHE_MAX_SIZE_DEFAULT, currently 1024*20, so that up to 20000 sessions can be held. This size can be modified using the SSL_CTX_sess_set_cache_size_APIName call. A special case is the size 0, which is used for unlimited size."
0,0,"Before , between , and after the certificates text is allowed which can be used eg for descriptions of the certificates",,,null,"Before, between, and after the certificates text is allowed which can be used eg for descriptions of the certificates.","sequences. Before, between, and after the certificates text is allowed which can be used eg for descriptions of the certificates."
0,0,Alternatively a new EC_KEY can be constructed by calling EC_KEY_new_by_curve_name and supplying the nid of the associated curve,,,null,Alternatively a new EC_KEY can be constructed by calling EC_KEY_new_by_curve_name and supplying the nid of the associated curve.,Alternatively a new EC_KEY can be constructed by calling EC_KEY_new_by_curve_name and supplying the nid of the associated curve. Refer to EC_GROUP_new_APIName for a description of curve names. This function simply wraps calls to EC_KEY_new and EC_GROUP_new_by_curve_name.
0,0,This effectively means that attempting I/O on an initial accept socket will await an incoming connection perform I/O on an incoming connection,,,null,This effectively means that attempting I/O on an initial accept socket will await an incoming connection then perform I/O on an incoming connection.,When a connection is established a new socket BIO is created for the connection and appended to the chain. That is the chain is now accept->socket. This effectively means that attempting I/O on an initial accept socket will await an incoming connection then perform I/O on an incoming connection.
0,0,BIO_gets_APIName performs the BIOs `` gets '' operation and places the data in BIO_gets_APIParam_2 BIO_gets_APIParam_2 BIO_gets_APIParam_2,,,null,"BIO_gets_APIName performs the BIOs ""gets"" operation and places the data in BIO_gets_APIParam_2 BIO_gets_APIParam_2 BIO_gets_APIParam_2.","BIO_gets_APIName performs the BIOs ""gets"" operation and places the data in BIO_gets_APIParam_2 BIO_gets_APIParam_2 BIO_gets_APIParam_2. Usually this operation will attempt to read a line of data from the BIO of maximum length BIO_write_APIParam_3 BIO_read_APIParam_3. There are exceptions to this however, for example BIO_gets_APIName on a digest BIO will calculate and return the digest and other BIOs may not support BIO_gets_APIName at all."
0,0,BN_RECP_CTX_set_APIName stores BN_RECP_CTX_set_APIParam_2 in BN_RECP_CTX_set_APIParam_1 and sets it up for computing 1/BN _ RECP_CTX_set_APIParam_2 and shifting it left by BN_num_bits +1 to make it an integer,,,null,BN_RECP_CTX_set_APIName stores BN_RECP_CTX_set_APIParam_2 in BN_RECP_CTX_set_APIParam_1 and sets it up for computing 1/BN_RECP_CTX_set_APIParam_2 and shifting it left by BN_num_bits(BN_RECP_CTX_set_APIParam_2)+1 to make it an integer.,BN_RECP_CTX_set_APIName stores BN_RECP_CTX_set_APIParam_2 in BN_RECP_CTX_set_APIParam_1 and sets it up for computing 1/BN_RECP_CTX_set_APIParam_2 and shifting it left by BN_num_bits(BN_RECP_CTX_set_APIParam_2)+1 to make it an integer. The result and the number of bits it was shifted left will later be stored in BN_RECP_CTX_set_APIParam_1.
0,0,"In the case of abstractions like EVP_CIPHER , where implementations are indexed by ` nid ' , these flags and cached-responses are distinct for each ` nid ' value",,,null,"In the case of abstractions like EVP_CIPHER, where implementations are indexed by 'nid', these flags and cached-responses are distinct for each 'nid' value.","Each state table has a flag to note whether it has processed this ""get_default"" query since the table was last modified, because to process this question it must iterate across all the registered ENGINEs in the table trying to initialise each of them in turn, in case one of them is operational. If it returns a functional reference to an ENGINE, it will also cache another reference to speed up processing future queries (without needing to iterate across the table). Likewise, it will cache a NULL response if no ENGINE was available so that future queries won't repeat the same iteration unless the state table changes. This behaviour can also be changed; if the ENGINE_TABLE_FLAG_NOINIT flag is set (using ENGINE_set_table_flags_APIName), no attempted initialisations will take place, instead the only way for the state table to return a non-NULL ENGINE to the ""get_default"" query will be if one is expressly set in the table. Eg. ENGINE_set_default_RSA_APIName does the same job as ENGINE_register_RSA_APIName except that it also sets the state table's cached response for the ""get_default"" query. In the case of abstractions like EVP_CIPHER, where implementations are indexed by 'nid', these flags and cached-responses are distinct for each 'nid' value."
0,0,X509_check_email_APIName checks if the certificate matches the specified email X509_check_email_APIParam_2,,,null,X509_check_email_APIName checks if the certificate matches the specified email X509_check_email_APIParam_2.,"X509_check_email_APIName checks if the certificate matches the specified email X509_check_email_APIParam_2. Only the mailbox syntax of RFC 822 is supported, comments are not allowed, and no attempt is made to normalize quoted characters. The X509_check_email_APIParam_3 argument must be the number of characters in the address string or zero in which case the length is calculated with strlen(X509_check_email_APIParam_2)."
0,0,SSL_get_secure_renegotiation_support_APIName indicates whether the peer supports secure renegotiation,,,null,SSL_get_secure_renegotiation_support_APIName indicates whether the peer supports secure renegotiation.,SSL_get_secure_renegotiation_support_APIName indicates whether the peer supports secure renegotiation.
0,0,PEM_write_bio_PKCS8PrivateKey_nid_APIName and PEM_write_PKCS8PrivateKey_nid_APIName also write out a private key as a PKCS # 8 EncryptedPrivateKeyInfo however it uses PKCS # 5 v1 .5 or PKCS # 12 encryption algorithms instead,,,null,PEM_write_bio_PKCS8PrivateKey_nid_APIName and PEM_write_PKCS8PrivateKey_nid_APIName also write out a private key as a PKCS#8 EncryptedPrivateKeyInfo however it uses PKCS#5 v1.5 or PKCS#12 encryption algorithms instead.,PEM_write_bio_PKCS8PrivateKey_nid_APIName and PEM_write_PKCS8PrivateKey_nid_APIName also write out a private key as a PKCS#8 EncryptedPrivateKeyInfo however it uses PKCS#5 v1.5 or PKCS#12 encryption algorithms instead. The algorithm to use is specified in the PEM_write_bio_PKCS8PrivateKey_nid_APIParam_3 PEM_write_PKCS8PrivateKey_nid_APIParam_3 parameter and should be the NID of the corresponding OBJECT IDENTIFIER (see NOTES section).
0,0,Otherwise they behave in a similar way to d2i_X509_APIName and i2d_X509_APIName described in the d2i_X509_APIName manual page,,,null,Otherwise they behave in a similar way to d2i_X509_APIName and i2d_X509_APIName described in the d2i_X509_APIName manual page.,Otherwise they behave in a similar way to d2i_X509_APIName and i2d_X509_APIName described in the d2i_X509_APIName manual page.
0,0,Usually this operation will attempt to read a line of data from the BIO of maximum length BIO_write_APIParam_3 BIO_read_APIParam_3,,,null,Usually this operation will attempt to read a line of data from the BIO of maximum length BIO_write_APIParam_3 BIO_read_APIParam_3.,"BIO_gets_APIName performs the BIOs ""gets"" operation and places the data in BIO_gets_APIParam_2 BIO_gets_APIParam_2 BIO_gets_APIParam_2. Usually this operation will attempt to read a line of data from the BIO of maximum length BIO_write_APIParam_3 BIO_read_APIParam_3. There are exceptions to this however, for example BIO_gets_APIName on a digest BIO will calculate and return the digest and other BIOs may not support BIO_gets_APIName at all."
0,0,"It is using these `` core '' control commands that one can discover the the control commands implemented by a given ENGINE , specifically the commands",,,null,"It is using these ""core"" control commands that one can discover the the control commands implemented by a given ENGINE, specifically the commands;","It is using these ""core"" control commands that one can discover the the control commands implemented by a given ENGINE, specifically the commands;"
0,0,BIO_get_cipher_status_APIName is a BIO_ctrl_APIName macro which can be called to determine whether the decryption operation was successful,,,null,BIO_get_cipher_status_APIName is a BIO_ctrl_APIName macro which can be called to determine whether the decryption operation was successful.,When reading from an encryption BIO the final block is automatically decrypted and checked when EOF is detected. BIO_get_cipher_status_APIName is a BIO_ctrl_APIName macro which can be called to determine whether the decryption operation was successful.
0,0,it is not a strong test that the input data or key is correct,,,null," , it is not a strong test that the input data or key is correct .","Although the decryption operation can produce an error if padding is enabled, it is not a strong test that the input data or key is correct. A random block has better than 1 in 256 chance of being of the correct format and problems with the input data earlier on will not produce a final decrypt error."
0,0,"The ASN1_OBJECT allocation routines , allocate and free an ASN1_OBJECT structure , which represents an ASN1 OBJECT IDENTIFIER",,,null,"The ASN1_OBJECT allocation routines, allocate and free an ASN1_OBJECT structure, which represents an ASN1 OBJECT IDENTIFIER.","The ASN1_OBJECT allocation routines, allocate and free an ASN1_OBJECT structure, which represents an ASN1 OBJECT IDENTIFIER."
0,0,"SSL_COMP_free_compression_methods_APIName frees the internal table of compression methods that were built internally , and possibly augmented by adding SSL_COMP_add_compression_method_APIName",,,null,"SSL_COMP_free_compression_methods_APIName frees the internal table of compression methods that were built internally, and possibly augmented by adding SSL_COMP_add_compression_method_APIName.","SSL_COMP_free_compression_methods_APIName frees the internal table of compression methods that were built internally, and possibly augmented by adding SSL_COMP_add_compression_method_APIName."
0,0,Typically the server callback would obtain the server certificate that is being sent back to the client via a call to SSL_get_certificate_APIName,,,null,Typically the server callback would obtain the server certificate that is being sent back to the client via a call to SSL_get_certificate_APIName; obtain the OCSP response to be sent back; and then set that response data by calling SSL_set_tlsext_status_ocsp_resp_APIName.,"A server application must also call the SSL_CTX_set_tlsext_status_cb_APIName function if A server application wants to be able to provide clients with OCSP Certificate Status responses. Typically the server callback would obtain the server certificate that is being sent back to the client via a call to SSL_get_certificate_APIName; obtain the OCSP response to be sent back; and then set that response data by calling SSL_set_tlsext_status_ocsp_resp_APIName. A pointer to the response data should be provided in the SSL_set_tlsext_status_ocsp_resp_APIParam_2 argument, and the length of that data should be in the SSL_set_tlsext_status_ocsp_resp_APIParam_3 argument."
0,0,The ENGINE object itself will only actually be cleaned up and deallocated,,,when the last structural reference is released,The ENGINE object itself will only actually be cleaned up and deallocated when the last structural reference is released.,"The ENGINE_new_APIName function returns a structural reference to a new (empty) ENGINE object. There are other ENGINE API functions that return structural references such as; ENGINE_by_id_APIName, ENGINE_get_first_APIName, ENGINE_get_last_APIName, ENGINE_get_next_APIName, ENGINE_get_prev_APIName. All structural references should be released by a corresponding to call to the ENGINE_free_APIName function. The ENGINE object itself will only actually be cleaned up and deallocated when the last structural reference is released."
0,0,the final block is automatically decrypted and checked,1,,"When reading from an encryption BIO, when EOF is detected",When reading from an encryption BIO the final block is automatically decrypted and checked when EOF is detected.,When reading from an encryption BIO the final block is automatically decrypted and checked when EOF is detected. BIO_get_cipher_status_APIName is a BIO_ctrl_APIName macro which can be called to determine whether the decryption operation was successful.
0,0,The SSL objects inherit the setting valid for SSL_CTX_set_max_cert_list_APIParam_1 at the time SSL_new_APIName is being called,,,null,The SSL objects inherit the setting valid for SSL_CTX_set_max_cert_list_APIParam_1 at the time SSL_new_APIName is being called.,SSL_CTX_set_max_cert_list_APIName sets the maximum size allowed for the peer's certificate chain for all SSL objects created from SSL_CTX_set_max_cert_list_APIParam_1 to be <size> bytes. The SSL objects inherit the setting valid for SSL_CTX_set_max_cert_list_APIParam_1 at the time SSL_new_APIName is being called.
0,0,SSL_shutdown_APIName tries to send the `` close notify '' shutdown alert to the peer,,,null,"SSL_shutdown_APIName tries to send the ""close notify"" shutdown alert to the peer.","SSL_shutdown_APIName tries to send the ""close notify"" shutdown alert to the peer. Whether the operation succeeds or not, the SSL_SENT_SHUTDOWN flag is set and a currently open session is considered closed and good and will be kept in the session cache for further reuse."
0,0, the final block is checked to see if the final block has the correct form.,,,When decrypting,When decrypting the final block is checked to see if the final block has the correct form.,When decrypting the final block is checked to see if the final block has the correct form.
0,0,"By generating a temporary DH key inside the server application that , it becomes impossible for an attacker to decrypt past sessions",,,null,"By generating a temporary DH key inside the server application that is lost when the application is left , it becomes impossible for an attacker to decrypt past sessions ,  .","Using ephemeral DH key exchange yields forward secrecy, as the connection can only be decrypted, when the DH key is known. By generating a temporary DH key inside the server application that is lost when the application is left, it becomes impossible for an attacker to decrypt past sessions, even if he gets hold of the normal (certified) key, as this key was only used for signing."
0,0,An export cipher like eg EXP-RC4-MD5 has only 40 secret bits,,,null,An export cipher like eg EXP-RC4-MD5 has only 40 secret bits.,"The number of bits processed can be different from the secret bits. An export cipher like eg EXP-RC4-MD5 has only 40 secret bits. The algorithm does use the full 128 bits (which would be returned for SSL_CIPHER_get_bits_APIParam_2), of which however 88bits are fixed. The search space is hence only 40 bits."
0,0,"The algorithm does use the full 128 bits , of which however 88bits are fixed",,,null,"The algorithm does use the full 128 bits (which would be returned for SSL_CIPHER_get_bits_APIParam_2), of which however 88bits are fixed.","The number of bits processed can be different from the secret bits. An export cipher like eg EXP-RC4-MD5 has only 40 secret bits. The algorithm does use the full 128 bits (which would be returned for SSL_CIPHER_get_bits_APIParam_2), of which however 88bits are fixed. The search space is hence only 40 bits."
0,0,These flags define the behaviour of how the d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 EC_KEY_get_enc_flags_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey,,,null,These flags define the behaviour of how the d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 EC_KEY_get_enc_flags_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey.,"The functions EC_KEY_get_enc_flags and EC_KEY_set_enc_flags get and set the value of the encoding flags for the d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 EC_KEY_get_enc_flags_APIParam_1. There are two encoding flags currently defined - EC_PKEY_NO_PARAMETERS and EC_PKEY_NO_PUBKEY. These flags define the behaviour of how the d2i_ECPrivateKey_APIParam_1 i2d_ECPrivateKey_APIParam_1 EC_KEY_get_enc_flags_APIParam_1 is converted into ASN1 in a call to i2d_ECPrivateKey. If EC_PKEY_NO_PARAMETERS is set ,then the public parameters for the curve are not encoded along with the private key. If EC_PKEY_NO_PUBKEY is set ,then the public key is not encoded along with the private key."
