If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
The sqlite3_soft_heap_limit64_APIName interface sets and/or queries the soft limit on the amount of heap memory that may be allocated by SQLite,null,The sqlite3_soft_heap_limit64_APIName interface sets and/or queries the soft limit on the amount of heap memory that may be allocated by SQLite.,"The sqlite3_soft_heap_limit64_APIName interface sets and/or queries the soft limit on the amount of heap memory that may be allocated by SQLite.SQLite strives to keep heap memory utilization below the soft heap limit by reducing the number of pages held in the page cache as heap memory usages approaches the limit.The soft heap limit is ""soft"" because even though SQLite strives to stay below the limit, it will exceed the limit rather than generate an SQLITE_NOMEM_API_constant error.In other words, the soft heap limit is advisory only."
SQLite will invoke the destructor function,when SQLite no longer needs the sqlite3_create_module_APIParam_4 pointer,SQLite will invoke the destructor function (if it is not NULL) when SQLite no longer needs the sqlite3_create_module_APIParam_4 pointer.,The sqlite3_create_module_v2_APIName interface has a fifth parameter which is a pointer to a destructor for the sqlite3_create_module_APIParam_4.SQLite will invoke the destructor function (if it is not NULL) when SQLite no longer needs the sqlite3_create_module_APIParam_4 pointer.The destructor will also be invoked if the call to sqlite3_create_module_v2_APIName fails.The sqlite3_create_module_APIName interface is equivalent to sqlite3_create_module_v2_APIName with a NULL destructor.
sqlite3_column_origin_name_APIParam_0 is valid until the prepared statement is destroyed using sqlite3_finalize_APIName or until the statement is automatically reprepared by the first call to sqlite3_step_APIName for a particular run or until the same information is requested again in a different encoding,null,sqlite3_column_origin_name_APIParam_0 is valid until the prepared statement is destroyed using sqlite3_finalize_APIName or until the statement is automatically reprepared by the first call to sqlite3_step_APIName for a particular run or until the same information is requested again in a different encoding.,"These routines provide a means to determine the database, table, and table column that is the origin of a particular result column in SELECT statement.The name of the database or table or column can be returned as either a UTF-8 or UTF-16 string.The _database_ routines return the database name, the _table_ routines return the table name, and the origin_ routines return the column name.sqlite3_column_origin_name_APIParam_0 is valid until the prepared statement is destroyed using sqlite3_finalize_APIName or until the statement is automatically reprepared by the first call to sqlite3_step_APIName for a particular run or until the same information is requested again in a different encoding."
These routines return 0 if the statement is incomplete,null,These routines return 0 if the statement is incomplete.,"These routines return 0 if the statement is incomplete.If a memory allocation fails, then SQLITE_NOMEM_API_constant be returned by sqlite3_complete16_APIName."
"Hence , the current size of the soft heap limit can be determined by invoking sqlite3_soft_heap_limit64_APIName with a negative argument",null,"Hence, the current size of the soft heap limit can be determined by invoking sqlite3_soft_heap_limit64_APIName with a negative argument.","The return value from sqlite3_soft_heap_limit64_APIName is the size of the soft heap limit prior to the call, or negative in the case of an error.If the argument sqlite3_soft_heap_limit64_APIParam_1 is negative then no change is made to the soft heap limit.Hence, the current size of the soft heap limit can be determined by invoking sqlite3_soft_heap_limit64_APIName with a negative argument."
Whitespace and comments that follow the final semicolon are ignored,null,Whitespace and comments that follow the final semicolon are ignored.,These routines are useful during command-line input to determine if the currently entered text seems to form a complete SQL statement or if additional input is needed before sending the text into SQLite for parsing.These routines return 1 if the input string appears to be a complete SQL statement.A statement is judged to be complete if it ends with a semicolon token and is not a prefix of a well-formed CREATE TRIGGER statement.Semicolons that are embedded within string literals or quoted identifier names or comments are not independent tokens (they are part of the token in which they are embedded) and thus do not count as a statement terminator.Whitespace and comments that follow the final semicolon are ignored.
These routines return 1 if the input string appears to be a complete SQL statement,null,These routines return 1 if the input string appears to be a complete SQL statement.,These routines are useful during command-line input to determine if the currently entered text seems to form a complete SQL statement or if additional input is needed before sending the text into SQLite for parsing.These routines return 1 if the input string appears to be a complete SQL statement.A statement is judged to be complete if it ends with a semicolon token and is not a prefix of a well-formed CREATE TRIGGER statement.Semicolons that are embedded within string literals or quoted identifier names or comments are not independent tokens (they are part of the token in which they are embedded) and thus do not count as a statement terminator.Whitespace and comments that follow the final semicolon are ignored.
no change is made to the soft heap limit,If the argument sqlite3_soft_heap_limit64_APIParam_1 is negative,If the argument sqlite3_soft_heap_limit64_APIParam_1 is negative then no change is made to the soft heap limit.,"The return value from sqlite3_soft_heap_limit64_APIName is the size of the soft heap limit prior to the call, or negative in the case of an error.If the argument sqlite3_soft_heap_limit64_APIParam_1 is negative then no change is made to the soft heap limit.Hence, the current size of the soft heap limit can be determined by invoking sqlite3_soft_heap_limit64_APIName with a negative argument."
The circumstances under which SQLite will enforce the soft heap limit may changes in future releases of SQLite,null,The circumstances under which SQLite will enforce the soft heap limit may changes in future releases of SQLite.,The circumstances under which SQLite will enforce the soft heap limit may changes in future releases of SQLite.
"If a memory allocation fails, SQLITE_NOMEM_API_constant be returned by sqlite3_complete16_APIName",null,"If a memory allocation fails, then SQLITE_NOMEM_API_constant be returned by sqlite3_complete16_APIName.","These routines return 0 if the statement is incomplete.If a memory allocation fails, then SQLITE_NOMEM_API_constant be returned by sqlite3_complete16_APIName."
"Beginning with SQLite version 3.7.3 , the soft heap limit is enforced regardless of",null,"Beginning with SQLite version 3.7.3 , the soft heap limit is enforced regardless of  .","Beginning with SQLite version 3.7.3 (2010-10-08), the soft heap limit is enforced regardless of whether or not the SQLITE_ENABLE_MEMORY_MANAGEMENT compile-time option is invoked.With SQLITE_ENABLE_MEMORY_MANAGEMENT, the soft heap limit is enforced on every memory allocation.Without SQLITE_ENABLE_MEMORY_MANAGEMENT, the soft heap limit is only enforced when memory is allocated by the page cache.Testing suggests that because the page cache is the predominate memory user in SQLite, most applications will achieve adequate soft heap limit enforcement without the use of SQLITE_ENABLE_MEMORY_MANAGEMENT."
the soft heap limit is disabled,If the argument sqlite3_soft_heap_limit64_APIParam_1 is zero,If the argument sqlite3_soft_heap_limit64_APIParam_1 is zero then the soft heap limit is disabled.,If the argument sqlite3_soft_heap_limit64_APIParam_1 is zero then the soft heap limit is disabled.
no new module is create,If sqlite3_create_module_APIParam_3 is NULL,If sqlite3_create_module_APIParam_3 (the pointer to the sqlite3_module object) is NULL then no new module is create and any existing modules with the same name are dropped.,If sqlite3_create_module_APIParam_3 (the pointer to the sqlite3_module object) is NULL then no new module is create and any existing modules with the same name are dropped.
and any existing modules with the same name are dropped,null,If sqlite3_create_module_APIParam_3 (the pointer to the sqlite3_module object) is NULL then no new module is create and any existing modules with the same name are dropped.,If sqlite3_create_module_APIParam_3 (the pointer to the sqlite3_module object) is NULL then no new module is create and any existing modules with the same name are dropped.
"The soft heap limit is `` soft '' because even though SQLite strives to stay below the limit , it will exceed the limit rather than generate an SQLITE_NOMEM_API_constant error",null,"The soft heap limit is ""soft"" because even though SQLite strives to stay below the limit, it will exceed the limit rather than generate an SQLITE_NOMEM_API_constant error.","The sqlite3_soft_heap_limit64_APIName interface sets and/or queries the soft limit on the amount of heap memory that may be allocated by SQLite.SQLite strives to keep heap memory utilization below the soft heap limit by reducing the number of pages held in the page cache as heap memory usages approaches the limit.The soft heap limit is ""soft"" because even though SQLite strives to stay below the limit, it will exceed the limit rather than generate an SQLITE_NOMEM_API_constant error.In other words, the soft heap limit is advisory only."
These routines do not parse the SQL statements thus will not detect syntactically incorrect SQL,null,These routines do not parse the SQL statements thus will not detect syntactically incorrect SQL.,These routines do not parse the SQL statements thus will not detect syntactically incorrect SQL.
"If that initialization fails , the return value from sqlite3_complete16_APIName will be non-zero regardless of",null,"If that initialization fails , then the return value from sqlite3_complete16_APIName will be non-zero regardless of  .","If SQLite has not been initialized using sqlite3_initialize_APIName prior to invoking sqlite3_complete16_APIName then sqlite3_initialize_APIName is invoked automatically by sqlite3_complete16_APIName.If that initialization fails, then the return value from sqlite3_complete16_APIName will be non-zero regardless of whether or not the input SQL is complete."
"If the value of sqlite3_uri_int64_APIParam_2 is something other than an integer, zero be returned by sqlite3_uri_int64_APIName",null,"If the value of sqlite3_uri_int64_APIParam_2 is something other than an integer, then zero be returned by sqlite3_uri_int64_APIName.","The sqlite3_uri_int64_APIName routine converts the value of sqlite3_uri_int64_APIParam_2 into a 64-bit signed integer and returns that integer, or sqlite3_uri_int64_APIParam_3 if sqlite3_uri_int64_APIParam_2 does not exist.If the value of sqlite3_uri_int64_APIParam_2 is something other than an integer, then zero be returned by sqlite3_uri_int64_APIName."
The input to sqlite3_complete_APIName must be a zero-terminated UTF-8 string,null,The input to sqlite3_complete_APIName must be a zero-terminated UTF-8 string.,The input to sqlite3_complete_APIName must be a zero-terminated UTF-8 string.
"Testing suggests that , most applications will achieve adequate soft heap limit enforcement without the use of SQLITE_ENABLE_MEMORY_MANAGEMENT",null,"Testing suggests that  , most applications will achieve adequate soft heap limit enforcement without the use of SQLITE_ENABLE_MEMORY_MANAGEMENT .","Beginning with SQLite version 3.7.3 (2010-10-08), the soft heap limit is enforced regardless of whether or not the SQLITE_ENABLE_MEMORY_MANAGEMENT compile-time option is invoked.With SQLITE_ENABLE_MEMORY_MANAGEMENT, the soft heap limit is enforced on every memory allocation.Without SQLITE_ENABLE_MEMORY_MANAGEMENT, the soft heap limit is only enforced when memory is allocated by the page cache.Testing suggests that because the page cache is the predominate memory user in SQLite, most applications will achieve adequate soft heap limit enforcement without the use of SQLITE_ENABLE_MEMORY_MANAGEMENT."
"If sqlite3_uri_boolean_APIParam_1 is a NULL pointer, sqlite3_uri_parameter_APIName returns NULL and sqlite3_uri_boolean_APIName returns B",null,"If sqlite3_uri_boolean_APIParam_1 is a NULL pointer, then sqlite3_uri_parameter_APIName returns NULL and sqlite3_uri_boolean_APIName returns B.","If sqlite3_uri_boolean_APIParam_1 is a NULL pointer, then sqlite3_uri_parameter_APIName returns NULL and sqlite3_uri_boolean_APIName returns B.If sqlite3_uri_boolean_APIParam_1 is not a NULL pointer and is not a database file pathname pointer that SQLite passed into the xOpen VFS method, then the behavior of this routine is undefined and probably undesirable."
"Without SQLITE_ENABLE_MEMORY_MANAGEMENT , the soft heap limit is only enforced",when memory is allocated by the page cache,"Without SQLITE_ENABLE_MEMORY_MANAGEMENT, the soft heap limit is only enforced when memory is allocated by the page cache.","Beginning with SQLite version 3.7.3 (2010-10-08), the soft heap limit is enforced regardless of whether or not the SQLITE_ENABLE_MEMORY_MANAGEMENT compile-time option is invoked.With SQLITE_ENABLE_MEMORY_MANAGEMENT, the soft heap limit is enforced on every memory allocation.Without SQLITE_ENABLE_MEMORY_MANAGEMENT, the soft heap limit is only enforced when memory is allocated by the page cache.Testing suggests that because the page cache is the predominate memory user in SQLite, most applications will achieve adequate soft heap limit enforcement without the use of SQLITE_ENABLE_MEMORY_MANAGEMENT."
The soft heap limit is not enforced in the current implementation,if one or more of following conditions are true,The soft heap limit is not enforced in the current implementation if one or more of following conditions are true:,The soft heap limit is not enforced in the current implementation if one or more of following conditions are true:
The input to sqlite3_complete16_APIName must be a zero-terminated UTF-16 string in native byte order,null,The input to sqlite3_complete16_APIName must be a zero-terminated UTF-16 string in native byte order.,The input to sqlite3_complete16_APIName must be a zero-terminated UTF-16 string in native byte order.
"The sqlite3_uri_int64_APIName routine converts the value of sqlite3_uri_int64_APIParam_2 into a 64-bit signed integer and returns that integer, or sqlite3_uri_int64_APIParam_3 if sqlite3_uri_int64_APIParam_2 does not exist",null,"The sqlite3_uri_int64_APIName routine converts the value of sqlite3_uri_int64_APIParam_2 into a 64-bit signed integer and returns that integer, or sqlite3_uri_int64_APIParam_3 if sqlite3_uri_int64_APIParam_2 does not exist.","The sqlite3_uri_int64_APIName routine converts the value of sqlite3_uri_int64_APIParam_2 into a 64-bit signed integer and returns that integer, or sqlite3_uri_int64_APIParam_3 if sqlite3_uri_int64_APIParam_2 does not exist.If the value of sqlite3_uri_int64_APIParam_2 is something other than an integer, then zero be returned by sqlite3_uri_int64_APIName."
Semicolons that are embedded within string literals or quoted identifier names or comments are not independent tokens and thus do not count as a statement terminator,null,Semicolons that are embedded within string literals or quoted identifier names or comments are not independent tokens (they are part of the token in which they are embedded) and thus do not count as a statement terminator.,These routines are useful during command-line input to determine if the currently entered text seems to form a complete SQL statement or if additional input is needed before sending the text into SQLite for parsing.These routines return 1 if the input string appears to be a complete SQL statement.A statement is judged to be complete if it ends with a semicolon token and is not a prefix of a well-formed CREATE TRIGGER statement.Semicolons that are embedded within string literals or quoted identifier names or comments are not independent tokens (they are part of the token in which they are embedded) and thus do not count as a statement terminator.Whitespace and comments that follow the final semicolon are ignored.
See the URI filename documentation for additional information,null,See the URI filename documentation for additional information.,See the URI filename documentation for additional information.
"If sqlite3_uri_boolean_APIParam_2 is not a query parameter on sqlite3_uri_boolean_APIParam_1 or if the value of sqlite3_uri_boolean_APIParam_2 is does not match any of the above, sqlite3_uri_boolean_APIName returns",null,"If sqlite3_uri_boolean_APIParam_2 is not a query parameter on sqlite3_uri_boolean_APIParam_1 or if the value of sqlite3_uri_boolean_APIParam_2 is does not match any of the above, then sqlite3_uri_boolean_APIName returns (B!=0).","The sqlite3_uri_boolean_APIName routine assumes that sqlite3_uri_boolean_APIParam_2 is a boolean parameter and returns true (1) or false (0) according to the value of sqlite3_uri_boolean_APIParam_2.  The sqlite3_uri_boolean_APIName routine returns true (1) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""yes"", ""true"", or ""on"" in any case or if the value begins with a non-zero number.The sqlite3_uri_boolean_APIName routines returns false (0) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""no"", ""false"", or ""off"" in any case or if the value begins with a numeric zero.If sqlite3_uri_boolean_APIParam_2 is not a query parameter on sqlite3_uri_boolean_APIParam_1 or if the value of sqlite3_uri_boolean_APIParam_2 is does not match any of the above, then sqlite3_uri_boolean_APIName returns (B!=0)."
"On second and subsequent calls to sqlite3_aggregate_context_APIName for the same aggregate function instance, the same buffer be returned by sqlite3_aggregate_context_APIName",null,"On second and subsequent calls to sqlite3_aggregate_context_APIName for the same aggregate function instance, the same buffer be returned by sqlite3_aggregate_context_APIName.","The first time the sqlite3_aggregate_context_APIName routine is called for a particular aggregate function, SQLite allocates sqlite3_aggregate_context_APIParam_2 of memory, zeroes out that memory, and returns a pointer to the new memory.On second and subsequent calls to sqlite3_aggregate_context_APIName for the same aggregate function instance, the same buffer be returned by sqlite3_aggregate_context_APIName.Sqlite3_aggregate_context_APIName is normally called once for each invocation of the xStep callback and then one last time when the xFinal callback is invoked.When no rows match an aggregate query, the xStep_APIName callback of the aggregate function implementation is never called and xFinal_APIName is called exactly once.In those cases, sqlite3_aggregate_context_APIName might be called for the first time from within xFinal_APIName."
Implementations of aggregate SQL functions use this routine to allocate memory for storing their state,null,Implementations of aggregate SQL functions use this routine to allocate memory for storing their state.,Implementations of aggregate SQL functions use this routine to allocate memory for storing their state.
"In those cases , sqlite3_aggregate_context_APIName might be called for the first time from within xFinal_APIName",null,"In those cases, sqlite3_aggregate_context_APIName might be called for the first time from within xFinal_APIName.","The first time the sqlite3_aggregate_context_APIName routine is called for a particular aggregate function, SQLite allocates sqlite3_aggregate_context_APIParam_2 of memory, zeroes out that memory, and returns a pointer to the new memory.On second and subsequent calls to sqlite3_aggregate_context_APIName for the same aggregate function instance, the same buffer be returned by sqlite3_aggregate_context_APIName.Sqlite3_aggregate_context_APIName is normally called once for each invocation of the xStep callback and then one last time when the xFinal callback is invoked.When no rows match an aggregate query, the xStep_APIName callback of the aggregate function implementation is never called and xFinal_APIName is called exactly once.In those cases, sqlite3_aggregate_context_APIName might be called for the first time from within xFinal_APIName."
The sqlite3_aggregate_context_APIName routine returns a NULL pointer when first called if sqlite3_aggregate_context_APIParam_2 is less than or equal to zero or if a memory allocate error occurs,null,The sqlite3_aggregate_context_APIName routine returns a NULL pointer when first called if sqlite3_aggregate_context_APIParam_2 is less than or equal to zero or if a memory allocate error occurs.,The sqlite3_aggregate_context_APIName routine returns a NULL pointer when first called if sqlite3_aggregate_context_APIParam_2 is less than or equal to zero or if a memory allocate error occurs.
"The sqlite3_uri_boolean_APIName routines returns false  if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""no"", ""false"", or ""off"" in any case or if the value begins with a numeric zero",null,"The sqlite3_uri_boolean_APIName routines returns false (0) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""no"", ""false"", or ""off"" in any case or if the value begins with a numeric zero.","The sqlite3_uri_boolean_APIName routine assumes that sqlite3_uri_boolean_APIParam_2 is a boolean parameter and returns true (1) or false (0) according to the value of sqlite3_uri_boolean_APIParam_2.  The sqlite3_uri_boolean_APIName routine returns true (1) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""yes"", ""true"", or ""on"" in any case or if the value begins with a non-zero number.The sqlite3_uri_boolean_APIName routines returns false (0) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""no"", ""false"", or ""off"" in any case or if the value begins with a numeric zero.If sqlite3_uri_boolean_APIParam_2 is not a query parameter on sqlite3_uri_boolean_APIParam_1 or if the value of sqlite3_uri_boolean_APIParam_2 is does not match any of the above, then sqlite3_uri_boolean_APIName returns (B!=0)."
SQLite strives to keep heap memory utilization below the soft heap limit by reducing the number of pages held in the page cache as heap memory usages approaches the limit,null,SQLite strives to keep heap memory utilization below the soft heap limit by reducing the number of pages held in the page cache as heap memory usages approaches the limit.,"The sqlite3_soft_heap_limit64_APIName interface sets and/or queries the soft limit on the amount of heap memory that may be allocated by SQLite.SQLite strives to keep heap memory utilization below the soft heap limit by reducing the number of pages held in the page cache as heap memory usages approaches the limit.The soft heap limit is ""soft"" because even though SQLite strives to stay below the limit, it will exceed the limit rather than generate an SQLITE_NOMEM_API_constant error.In other words, the soft heap limit is advisory only."
The amount of space allocated by sqlite3_aggregate_context_APIName is determined by the sqlite3_aggregate_context_APIParam_2 parameter on first successful call,null,The amount of space allocated by sqlite3_aggregate_context_APIName is determined by the sqlite3_aggregate_context_APIParam_2 parameter on first successful call.,"The amount of space allocated by sqlite3_aggregate_context_APIName is determined by the sqlite3_aggregate_context_APIParam_2 parameter on first successful call.Changing the value of sqlite3_aggregate_context_APIParam_2 in subsequent call to sqlite3_aggregate_context_APIName within the same aggregate function instance will not resize the memory allocation.Within the xFinal callback, it is customary to set N=0 in calls to sqlite3_aggregate_context_APIName so that no pointless memory allocations occur."
A statement is judged to be complete,if it ends with a semicolon token and is not a prefix of a well-formed CREATE TRIGGER statement,A statement is judged to be complete if it ends with a semicolon token and is not a prefix of a well-formed CREATE TRIGGER statement.,These routines are useful during command-line input to determine if the currently entered text seems to form a complete SQL statement or if additional input is needed before sending the text into SQLite for parsing.These routines return 1 if the input string appears to be a complete SQL statement.A statement is judged to be complete if it ends with a semicolon token and is not a prefix of a well-formed CREATE TRIGGER statement.Semicolons that are embedded within string literals or quoted identifier names or comments are not independent tokens (they are part of the token in which they are embedded) and thus do not count as a statement terminator.Whitespace and comments that follow the final semicolon are ignored.
sqlite3_initialize_APIName is invoked automatically by sqlite3_complete16_APIName,If SQLite has not been initialized using sqlite3_initialize_APIName prior to invoking sqlite3_complete16_APIName,If SQLite has not been initialized using sqlite3_initialize_APIName prior to invoking sqlite3_complete16_APIName then sqlite3_initialize_APIName is invoked automatically by sqlite3_complete16_APIName.,"If SQLite has not been initialized using sqlite3_initialize_APIName prior to invoking sqlite3_complete16_APIName then sqlite3_initialize_APIName is invoked automatically by sqlite3_complete16_APIName.If that initialization fails, then the return value from sqlite3_complete16_APIName will be non-zero regardless of whether or not the input SQL is complete."
"The first time the sqlite3_aggregate_context_APIName routine is called for a particular aggregate function, SQLite allocates sqlite3_aggregate_context_APIParam_2 of memory, zeroes out that memory, and returns a pointer to the new memory",null,"The first time the sqlite3_aggregate_context_APIName routine is called for a particular aggregate function, SQLite allocates sqlite3_aggregate_context_APIParam_2 of memory, zeroes out that memory, and returns a pointer to the new memory.","The first time the sqlite3_aggregate_context_APIName routine is called for a particular aggregate function, SQLite allocates sqlite3_aggregate_context_APIParam_2 of memory, zeroes out that memory, and returns a pointer to the new memory.On second and subsequent calls to sqlite3_aggregate_context_APIName for the same aggregate function instance, the same buffer be returned by sqlite3_aggregate_context_APIName.Sqlite3_aggregate_context_APIName is normally called once for each invocation of the xStep callback and then one last time when the xFinal callback is invoked.When no rows match an aggregate query, the xStep_APIName callback of the aggregate function implementation is never called and xFinal_APIName is called exactly once.In those cases, sqlite3_aggregate_context_APIName might be called for the first time from within xFinal_APIName."
"The sqlite3_uri_boolean_APIName routine assumes that sqlite3_uri_boolean_APIParam_2 is a boolean parameter and returns true  or false  according to the value of sqlite3_uri_boolean_APIParam_2.  The sqlite3_uri_boolean_APIName routine returns true  if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""yes"", ""true"", or ""on"" in any case or if the value begins with a non-zero number",null,"The sqlite3_uri_boolean_APIName routine assumes that sqlite3_uri_boolean_APIParam_2 is a boolean parameter and returns true (1) or false (0) according to the value of sqlite3_uri_boolean_APIParam_2.  The sqlite3_uri_boolean_APIName routine returns true (1) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""yes"", ""true"", or ""on"" in any case or if the value begins with a non-zero number.","The sqlite3_uri_boolean_APIName routine assumes that sqlite3_uri_boolean_APIParam_2 is a boolean parameter and returns true (1) or false (0) according to the value of sqlite3_uri_boolean_APIParam_2.  The sqlite3_uri_boolean_APIName routine returns true (1) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""yes"", ""true"", or ""on"" in any case or if the value begins with a non-zero number.The sqlite3_uri_boolean_APIName routines returns false (0) if the value of query parameter sqlite3_uri_boolean_APIParam_2 is one of ""no"", ""false"", or ""off"" in any case or if the value begins with a numeric zero.If sqlite3_uri_boolean_APIParam_2 is not a query parameter on sqlite3_uri_boolean_APIParam_1 or if the value of sqlite3_uri_boolean_APIParam_2 is does not match any of the above, then sqlite3_uri_boolean_APIName returns (B!=0)."
This routine must be called from the same thread in which the aggregate SQL function is running,null,This routine must be called from the same thread in which the aggregate SQL function is running.,This routine must be called from the same thread in which the aggregate SQL function is running.
is passed through into the xCreate and xConnect methods of the virtual table module,when a new virtual table is be being created or reinitialized,The fourth parameter is an arbitrary client data pointer that is passed through into the xCreate and xConnect methods of the virtual table module when a new virtual table is be being created or reinitialized.,The module name is registered on the database connection specified by sqlite3_create_module_APIParam_1.The name of the module is given by the second parameter.The third parameter is a pointer to the implementation of the virtual table module.The fourth parameter is an arbitrary client data pointer that is passed through into the xCreate and xConnect methods of the virtual table module when a new virtual table is be being created or reinitialized.
The fourth parameter is an arbitrary client data pointer that,null,The fourth parameter is an arbitrary client data pointer that is passed through into the xCreate and xConnect methods of the virtual table module when a new virtual table is be being created or reinitialized.,The module name is registered on the database connection specified by sqlite3_create_module_APIParam_1.The name of the module is given by the second parameter.The third parameter is a pointer to the implementation of the virtual table module.The fourth parameter is an arbitrary client data pointer that is passed through into the xCreate and xConnect methods of the virtual table module when a new virtual table is be being created or reinitialized.
These routines are useful during command-line input to determine if the currently entered text seems to form a complete SQL statement or if additional input is needed before sending the text into SQLite for parsing,null,These routines are useful during command-line input to determine if the currently entered text seems to form a complete SQL statement or if additional input is needed before sending the text into SQLite for parsing.,These routines are useful during command-line input to determine if the currently entered text seems to form a complete SQL statement or if additional input is needed before sending the text into SQLite for parsing.These routines return 1 if the input string appears to be a complete SQL statement.A statement is judged to be complete if it ends with a semicolon token and is not a prefix of a well-formed CREATE TRIGGER statement.Semicolons that are embedded within string literals or quoted identifier names or comments are not independent tokens (they are part of the token in which they are embedded) and thus do not count as a statement terminator.Whitespace and comments that follow the final semicolon are ignored.
"If sqlite3_uri_parameter_APIParam_1 is the database filename pointer passed into the xOpen_APIName method of a VFS implementation when the flags parameter to xOpen_APIName has one or more of the SQLITE_OPEN_URI_API_constant or SQLITE_OPEN_MAIN_DB_API_constant bits set and sqlite3_uri_parameter_APIParam_2 is the name of the query parameter, sqlite3_uri_parameter_APIName returns the value of the sqlite3_uri_parameter_APIParam_2 parameter if it exists or a NULL pointer if sqlite3_uri_parameter_APIParam_2 does not appear as a query parameter on sqlite3_uri_parameter_APIParam_1.  If sqlite3_uri_parameter_APIParam_2 is a query parameter of sqlite3_uri_parameter_APIParam_1 has no explicit value, sqlite3_uri_parameter_APIName returns a pointer to an empty string",null,"If sqlite3_uri_parameter_APIParam_1 is the database filename pointer passed into the xOpen_APIName method of a VFS implementation when the flags parameter to xOpen_APIName has one or more of the SQLITE_OPEN_URI_API_constant or SQLITE_OPEN_MAIN_DB_API_constant bits set and sqlite3_uri_parameter_APIParam_2 is the name of the query parameter, then sqlite3_uri_parameter_APIName returns the value of the sqlite3_uri_parameter_APIParam_2 parameter if it exists or a NULL pointer if sqlite3_uri_parameter_APIParam_2 does not appear as a query parameter on sqlite3_uri_parameter_APIParam_1.  If sqlite3_uri_parameter_APIParam_2 is a query parameter of sqlite3_uri_parameter_APIParam_1 has no explicit value, then sqlite3_uri_parameter_APIName returns a pointer to an empty string.","If sqlite3_uri_parameter_APIParam_1 is the database filename pointer passed into the xOpen_APIName method of a VFS implementation when the flags parameter to xOpen_APIName has one or more of the SQLITE_OPEN_URI_API_constant or SQLITE_OPEN_MAIN_DB_API_constant bits set and sqlite3_uri_parameter_APIParam_2 is the name of the query parameter, then sqlite3_uri_parameter_APIName returns the value of the sqlite3_uri_parameter_APIParam_2 parameter if it exists or a NULL pointer if sqlite3_uri_parameter_APIParam_2 does not appear as a query parameter on sqlite3_uri_parameter_APIParam_1.  If sqlite3_uri_parameter_APIParam_2 is a query parameter of sqlite3_uri_parameter_APIParam_1 has no explicit value, then sqlite3_uri_parameter_APIName returns a pointer to an empty string."
"Within the xFinal callback , it is customary to set N = 0 in calls to sqlite3_aggregate_context_APIName so that no pointless memory allocations occur",null,"Within the xFinal callback, it is customary to set N=0 in calls to sqlite3_aggregate_context_APIName so that no pointless memory allocations occur.","The amount of space allocated by sqlite3_aggregate_context_APIName is determined by the sqlite3_aggregate_context_APIParam_2 parameter on first successful call.Changing the value of sqlite3_aggregate_context_APIParam_2 in subsequent call to sqlite3_aggregate_context_APIName within the same aggregate function instance will not resize the memory allocation.Within the xFinal callback, it is customary to set N=0 in calls to sqlite3_aggregate_context_APIName so that no pointless memory allocations occur."
SQLite automatically frees the memory allocated by sqlite3_aggregate_context_APIName,when the aggregate query concludes,SQLite automatically frees the memory allocated by sqlite3_aggregate_context_APIName when the aggregate query concludes.,SQLite automatically frees the memory allocated by sqlite3_aggregate_context_APIName when the aggregate query concludes.
Changing the value of sqlite3_aggregate_context_APIParam_2 in subsequent call to sqlite3_aggregate_context_APIName within the same aggregate function instance will not resize the memory allocation,null,Changing the value of sqlite3_aggregate_context_APIParam_2 in subsequent call to sqlite3_aggregate_context_APIName within the same aggregate function instance will not resize the memory allocation.,"The amount of space allocated by sqlite3_aggregate_context_APIName is determined by the sqlite3_aggregate_context_APIParam_2 parameter on first successful call.Changing the value of sqlite3_aggregate_context_APIParam_2 in subsequent call to sqlite3_aggregate_context_APIName within the same aggregate function instance will not resize the memory allocation.Within the xFinal callback, it is customary to set N=0 in calls to sqlite3_aggregate_context_APIName so that no pointless memory allocations occur."
